Script started on Sun Nov 30 13:31:39 2014
[?1034hpoot:~/data-poi/data->exitminiterm.py -b 38400 /dev/tty.Poi_1-RNI-SPP
Traceback (most recent call last):
  File "/usr/local/bin/miniterm.py", line 694, in <module>
    main()
  File "/usr/local/bin/miniterm.py", line 649, in main
    repr_mode=options.repr_mode,
  File "/usr/local/bin/miniterm.py", line 171, in __init__
    self.serial = serial.serial_for_url(port, baudrate, parity=parity, rtscts=rtscts, xonxoff=xonxoff, timeout=1)
  File "/Library/Python/2.7/site-packages/serial/__init__.py", line 78, in serial_for_url
    instance.open()
  File "/Library/Python/2.7/site-packages/serial/serialposix.py", line 289, in open
    self.fd = os.open(self.portstr, os.O_RDWR|os.O_NOCTTY|os.O_NONBLOCK)
OSError: [Errno 16] Resource busy: '/dev/tty.Poi_1-RNI-SPP'
poot:~/data-poi/data->miniterm.py -b 38400 /dev/tty.Poi_1-RNI-SPP
--- Miniterm on /dev/tty.Poi_1-RNI-SPP: 38400,8,N,1 ---
--- Quit: Ctrl+]  |  Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
-106.56,-70.13,-70.52
-106.56,-70.14,-70.51
-106.57,-70.14,-70.51
-106.56,-70.14,-70.51
-106.56,-70.15,-70.51
-106.57,-70.15,-70.50
-106.57,-70.15,-70.50
-106.57,-70.15,-70.50
-106.57,-70.15,-70.50
-106.57,-70.16,-70.50
-106.57,-70.16,-70.50
-106.57,-70.16,-70.50
-106.57,-70.16,-70.51
-106.57,-70.16,-70.51
-106.57,-70.17,-70.51
-106.58,-70.17,-70.51
-106.58,-70.17,-70.50
-106.58,-70.17,-70.51
-106.59,-70.17,-70.50
-106.60,-70.17,-70.50
-106.60,-70.17,-70.49
-106.61,-70.17,-70.48
-106.61,-70.18,-70.49
-106.62,-70.18,-70.48
-106.61,-70.18,-70.48
-106.62,-70.18,-70.47
-106.63,-70.19,-70.47
-106.63,-70.19,-70.47
-106.62,-70.19,-70.47
-106.63,-70.20,-70.47
-106.64,-70.20,-70.46
-106.63,-70.20,-70.45
-106.63,-70.21,-70.45
-106.63,-70.21,-70.45
-106.63,-70.21,-70.45
-106.63,-70.21,-70.45
-106.63,-70.21,-70.45
-106.63,-70.22,-70.45
-106.63,-70.22,-70.45
-106.63,-70.22,-70.45
-106.64,-70.22,-70.44
-106.64,-70.23,-70.44
-106.65,-70.23,-70.43
-106.65,-70.23,-70.43
-106.67,-70.23,-70.41
-106.67,-70.23,-70.41
-106.69,-70.24,-70.39
-106.69,-70.24,-70.39
-106.69,-70.24,-70.40
-106.68,-70.24,-70.40
-106.68,-70.25,-70.41
-106.67,-70.25,-70.42
-106.67,-70.25,-70.41
-106.67,-70.25,-70.41
-106.67,-70.26,-70.41
-106.68,-70.26,-70.41
-106.68,-70.26,-70.41
-106.68,-70.26,-70.41
-106.68,-70.26,-70.41
-106.69,-70.26,-70.40
-106.69,-70.26,-70.40
-106.69,-70.26,-70.40
-106.69,-70.26,-70.40
-106.70,-70.26,-70.39
-106.70,-70.27,-70.39
-106.70,-70.27,-70.39
-106.70,-70.27,-70.39
-106.70,-70.27,-70.39
-106.70,-70.28,-70.38
-106.70,-70.28,-70.38
-106.70,-70.28,-70.38
-106.70,-70.29,-70.38
-106.71,-70.29,-70.37
-106.70,-70.29,-70.37
-106.70,-70.30,-70.37
-106.70,-70.30,-70.37
-106.70,-70.30,-70.37
-106.70,-70.31,-70.37
-106.69,-70.31,-70.37
-106.70,-70.31,-70.37
-106.70,-70.31,-70.37
-106.71,-70.31,-70.37
-106.71,-70.31,-70.37
-106.71,-70.32,-70.36
-106.71,-70.32,-70.37
-106.71,-70.32,-70.37
-106.72,-70.32,-70.36
-106.72,-70.32,-70.36
-106.72,-70.32,-70.37
-106.72,-70.32,-70.37
-106.73,-70.33,-70.36
-106.73,-70.33,-70.36
-106.73,-70.33,-70.36
-106.74,-70.33,-70.35
-106.74,-70.33,-70.35
-106.73,-70.34,-70.36
-106.74,-70.34,-70.36
-106.74,-70.34,-70.36
-106.74,-70.34,-70.35
-106.75,-70.35,-70.34
-106.76,-70.35,-70.33
-106.77,-70.35,-70.33
-106.78,-70.35,-70.31
-106.79,-70.35,-70.30
-106.79,-70.35,-70.30
-106.79,-70.35,-70.29
-106.80,-70.36,-70.28
-106.81,-70.36,-70.28
-106.81,-70.36,-70.27
-106.82,-70.36,-70.27
-106.82,-70.37,-70.27
-106.82,-70.37,-70.27
-106.82,-70.37,-70.26
-106.82,-70.38,-70.26
-106.82,-70.38,-70.27
-106.83,-70.38,-70.26
-106.83,-70.38,-70.26
-106.84,-70.38,-70.25
-106.85,-70.38,-70.25
-106.85,-70.39,-70.24
-106.85,-70.39,-70.24
-106.86,-70.39,-70.24
-106.86,-70.39,-70.24
-106.86,-70.39,-70.25
-106.86,-70.39,-70.24
-106.87,-70.39,-70.24
-106.87,-70.40,-70.24
-106.87,-70.40,-70.24
-106.87,-70.40,-70.25
-106.87,-70.40,-70.25
-106.87,-70.41,-70.25
-106.87,-70.41,-70.25
-106.87,-70.41,-70.25
-106.87,-70.41,-70.25
-106.87,-70.41,-70.25
-106.87,-70.41,-70.25
-106.87,-70.42,-70.25
-106.86,-70.42,-70.25
-106.86,-70.43,-70.25
-106.87,-70.43,-70.24
-106.87,-70.43,-70.24
-106.87,-70.44,-70.24
-106.87,-70.44,-70.23
-106.88,-70.44,-70.22
-106.88,-70.44,-70.22
-106.88,-70.45,-70.22
-106.89,-70.45,-70.22
-106.90,-70.45,-70.21
-106.91,-70.45,-70.20
-106.91,-70.45,-70.19
-106.91,-70.45,-70.20
-106.91,-70.45,-70.20
